,via_to,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,avg,sum
0,TA104TA257,195.36,106.56,39.96,8.88,4.44,22.200000000000003,44.400000000000006,630.48,892.44,550.5600000000001,772.5600000000001,541.6800000000001,634.9200000000001,741.48,785.8800000000001,777.0000000000001,1212.1200000000001,1034.52,972.3600000000001,910.2,701.5200000000001,390.72,284.16,239.76000000000002,520.59,12494.160000000002
1,TA105TA26,111.00000000000001,57.720000000000006,62.160000000000004,44.400000000000006,22.200000000000003,57.720000000000006,199.8,324.12,506.16,537.24,568.32,639.36,612.72,728.1600000000001,559.44,617.1600000000001,639.36,630.48,439.56000000000006,550.5600000000001,555.0,412.92,350.76000000000005,239.76000000000002,394.4200000000001,9466.080000000002
2,TA105TA83,257.52000000000004,150.96,164.28,57.720000000000006,71.04,182.04000000000002,621.6,888.0000000000001,985.6800000000001,967.9200000000001,790.32,1056.72,972.3600000000001,967.9200000000001,1056.72,910.2,1021.2,1256.5200000000002,1225.44,932.4000000000001,959.0400000000001,745.9200000000001,648.24,519.48,725.3850000000001,17409.24
3,TA106TA28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.37000000000000005,8.88
4,TA109TA111,39.96,13.32,0.0,4.44,0.0,31.080000000000002,75.48,319.68,523.9200000000001,563.88,457.32000000000005,541.6800000000001,479.52000000000004,337.44000000000005,297.48,395.16,337.44000000000005,226.44000000000003,275.28000000000003,337.44000000000005,257.52000000000004,195.36,173.16000000000003,124.32000000000001,250.30499999999995,6007.319999999999
5,TA109TA136,0.0,0.0,0.0,0.0,0.0,0.0,4.44,13.32,22.200000000000003,75.48,22.200000000000003,17.76,244.20000000000002,26.64,124.32000000000001,306.36,341.88000000000005,284.16,53.28,31.080000000000002,31.080000000000002,13.32,8.88,13.32,68.08,1633.92
6,TA111TA134,4.44,0.0,0.0,4.44,0.0,0.0,4.44,26.64,17.76,57.720000000000006,53.28,48.84,57.720000000000006,35.52,13.32,22.200000000000003,26.64,35.52,8.88,8.88,13.32,0.0,17.76,13.32,19.609999999999996,470.63999999999993
7,TA112TA231,8.88,0.0,8.88,0.0,0.0,8.88,0.0,35.52,53.28,79.92,35.52,0.0,17.76,8.88,26.64,35.52,35.52,8.88,35.52,26.64,17.76,0.0,17.76,0.0,19.24,461.75999999999993
8,TA112TA38,8.88,0.0,0.0,0.0,0.0,0.0,0.0,35.52,346.32000000000005,88.80000000000001,53.28,62.160000000000004,142.08,26.64,97.68,115.44000000000001,213.12,159.84,115.44000000000001,88.80000000000001,17.76,35.52,79.92,17.76,71.04,1704.96
9,TA112TA79,0.0,0.0,0.0,0.0,8.88,8.88,8.88,204.24,1074.48,790.32,124.32000000000001,195.36,204.24,275.28000000000003,301.92,337.44000000000005,390.72,150.96,115.44000000000001,106.56,53.28,44.400000000000006,17.76,35.52,185.37000000000003,4448.880000000001
